Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-7,,weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-11,,weiblich,26-35,städtisch,Vollzeit,3-4,26,Facebook;Instagram
Participant-12,,männlich,46-55,städtisch,Vollzeit,1-2,45136,keine Social Media Nutzung
Participant-16,"Weil ich bei Paketstationen unabhängig bin! Da ich oft nicht zu Hause bin, wäre das für mich die OPTIMALE Lösung!",weiblich,56-65,städtisch,Teilzeit,1-2,22,Facebook;andere Social Media
Participant-20,Packstationen liegen auf meinem Weg und können jederzeit genutzt werden,weiblich,46-55,städtisch,Teilzeit,3-4,40,andere Social Media
Participant-24,"Ich finde es angenehm, dass alles gesammelt wird und nur einmal am Tag jemand kommt. ",weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-36,Macht mich zeitlich unabhängig.,weiblich,46-55,städtisch,Vollzeit,1-2,45,Facebook;Twitter;Instagram;Linkedin
Participant-54,,weiblich,56-65,städtisch,Vollzeit,3-4,44,Facebook;Twitter;Linkedin;andere Social Media
Participant-59,,männlich,36-45,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-75,"Zustellung, wie man es seit Jahren kennt. Vorstellung mi Drohnen und Robotern irgendwie noch komisch. Technik ggf noch nicht so ausgereift. Paketstation wird gerne genutzt.",männlich,46-55,städtisch,Vollzeit,3-4,89,Facebook;Twitter;Instagram
Participant-90,"Klingt am effektivsten, sichert Arbeitsplätze und wirkt am realistischen in der kurzfristigen Umsetzung und längerfristigen Etablierung. ",weiblich,26-35,städtisch,Vollzeit,3-4,47,Facebook
Participant-97,,weiblich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-145,,männlich,36-45,städtisch,Vollzeit,3-4,45,Twitter;andere Social Media
Participant-146,Weniger warten auf Pakete ,weiblich,26-35,ländlich,Teilzeit,3-4,48,Facebook;Instagram
Participant-147,,weiblich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram;andere Social Media
Participant-151,,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-155,,männlich,26-35,ländlich,Vollzeit,4+,,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-160,Man ist nicht vol anderen abhängig ,männlich,36-45,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-161,,weiblich,46-55,städtisch,Vollzeit,3-4,40,Facebook;Instagram;Linkedin
Participant-166,,männlich,46-55,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-190,"Pakete können jederzeit abgelegt und abgeholt werden, man ist nicht an Zeiten gebunden. ",weiblich,46-55,städtisch,Vollzeit,1-2,14,keine Social Media Nutzung
Participant-236,da es in meinen Augen kein Nachteil mit sich bringt,weiblich,26-35,ländlich,Teilzeit,1-2,58,andere Social Media
Participant-245,,weiblich,56-65,städtisch,Vollzeit,1-2,45,Facebook
Participant-252,Ist am bequemsten ,männlich,46-55,städtisch,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-260,"Gut, wenn man nicht mehrere Unternehmen hat auf die man warten muss. Es weren noch Jobs erhalten",weiblich,26-35,ländlich,Teilzeit,1-2,47,Facebook;Twitter;Instagram
Participant-273,"WEIl eine scheinbar starke Verkehrs- und Umweltentlastung möglich ist und Pakete dennoch und vor allem nur EIN mal an die Haustür kommen
",männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-276,Meiner Meinung nach am effizientesten und sinnvollsten momentan.,weiblich,46-55,städtisch,Teilzeit,1-2,47,Facebook;Instagram;andere Social Media
Participant-290,,männlich,46-55,ländlich,Vollzeit,3-4,64,Linkedin
Participant-292,Einfachste Umsetzung,männlich,46-55,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-297,CO2 Ausstoß würde drastisch sinken,weiblich,17-25,städtisch,Teilzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-299,CO2 Ausstoß würde drastisch sinken,weiblich,17-25,städtisch,Teilzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-302,Weil es praktisch und durchführbar ist.,weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-321,,männlich,56-65,ländlich,Vollzeit,1-2,44,andere Social Media
Participant-349,"Umweltfreundlich, Arbeitsplätze bleiben erhalten,",weiblich,46-55,städtisch,Vollzeit,1-2,45,andere Social Media
