Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-2,,männlich,56-65,städtisch,,1-2,12,Facebook;Instagram
Participant-3,Für mich persönlich die optimale Lösung,männlich,46-55,städtisch,Vollzeit,1-2,44,Facebook
Participant-4,,weiblich,66+,städtisch,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-8,,männlich,46-55,städtisch,Vollzeit,3-4,45,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-10,,weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-22,,weiblich,36-45,städtisch,Vollzeit,1-2,48,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-24,"Ich finde es angenehm, dass alles gesammelt wird und nur einmal am Tag jemand kommt. ",weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-25,,männlich,56-65,städtisch,Vollzeit,1-2,40,Facebook;Linkedin
Participant-26,Ich sehe einen Überhang in den Vorteilen und die Vorteile finde ich überaus gut.,männlich,46-55,städtisch,Vollzeit,3-4,40,keine Social Media Nutzung
Participant-29,So wird CO2 eingespart und ich habe wenige Einbußen. ,weiblich,36-45,städtisch,Vollzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-30,Erscheint mir am sinnvollsten ,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-32,Da kann ich mich besser drauf einstellen ,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook;Instagram
Participant-38,"Insgesamt bringt es, glaube ich am meisten für die Umwelt.",weiblich,56-65,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-40,,männlich,36-45,ländlich,Vollzeit,1-2,65,Twitter;Linkedin;andere Social Media
Participant-44,Viele Elektrofahrzeuge und die Arbeitsplätze der Fahrer gehen nicht verloren,männlich,17-25,städtisch,Vollzeit,3-4,44,Facebook;Instagram;andere Social Media
Participant-48,"Es liefert den größten Effekt, ist einfach umzusetzen, ich gewinne zusätzlichen Komfort (1 Lieferung) und die Kosten sind gering",weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-50,Scheint logisch ,weiblich,46-55,ländlich,Teilzeit,1-2,33,Facebook;Twitter;Instagram;andere Social Media
Participant-57,"Möglichkeit CO2 einzusparen, ohne große Änderungen am bestehenden System vorzunehmen. Durch längere Wartezeiten auf Pakete zur privaten Adresse würden Angebote wie Poststationen, Lieferungen an Fillialen in der Nähe, Einkauf in Geschäften vor Ort wieder attraktiver werden. Die Förderung lokaler Akteure spart nachhaltig weiteres CO2 sein.",weiblich,26-35,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-59,,männlich,36-45,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-61,Erhält Arbeitsplätze ,weiblich,46-55,ländlich,Vollzeit,1-2,33,Facebook;Instagram
Participant-62,Arbeitsplätze ,weiblich,46-55,städtisch,Teilzeit,3-4,44,Facebook;Instagram
Participant-64,Ich möchte es weiterhin mit Menschen zu tun haben . Feste Lieferanten wären toll. Sie wissen wohin mit den Paketen; man kann eine Beziehung aufbauen ,weiblich,46-55,städtisch,Vollzeit,3-4,44627,Instagram
Participant-65,"Warten ist okay, wenn man sich drauf einstellen kann. Roboter und Drohnen erachte ich als schwierig. Abschuss von Drohnen oder Manipulation von Robotern bzw wie bei uns muss der Postbote klingeln, damit er überhaupt rein kommt für Pakete. Tor verschlossen und direkt an Straße wohnend. ",weiblich,26-35,ländlich,Teilzeit,3-4,53894,Facebook
Participant-66,Weil es für mich persönlich die beste Lösung ist und weil die Vorteile gegenüber den anderen Vorschlägen am nachhaltigsten für die Umwelt wären,weiblich,56-65,ländlich,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-68,Bewährtes System aus der Gastronomie wie z.B. Wolt oder Lieferando,männlich,46-55,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-71,,weiblich,56-65,städtisch,Vollzeit,3-4,40,keine Social Media Nutzung
Participant-74,Erscheint mir als einfach umzusetzen und für mich sehr komfortabel.,weiblich,46-55,ländlich,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-80,Ist am bequemsten ,weiblich,46-55,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-81,,männlich,56-65,städtisch,,1-2,46,Facebook;Instagram
Participant-82,,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-83,Ist die einfachste Variante ,weiblich,46-55,städtisch,Vollzeit,1-2,45145,Instagram;andere Social Media
Participant-85,,männlich,56-65,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-88,Ich kann die Abholung selber steuern.,männlich,36-45,städtisch,Vollzeit,1-2,44,andere Social Media
Participant-89,,männlich,46-55,städtisch,Vollzeit,3-4,58,Twitter;Linkedin;andere Social Media
Participant-91,"Es ist nur in wenigen Ausnahmen wichtig, das Paket innerhalb kürzester Zeit zu erhalten. Und es ist vollkommen unnötig, 5x am Tag beliefert zu werden. Sofern sichergestellt ist, dass Kühlware nicht verdirbt, wäre das Optimal. 
Packstationen wären gut, wenn sie ein größeres Packvolumen hätten und so verteilt sind, dass man auch mit dem Fahrrad hin kann. Ein Zusteller wäre für die Lieferung gut, sofern dann auch der Arbeitsschutz bedacht wird. Autonome Zulieferer halte ich spontan für langfristig sicherer und weniger fehleranfällig, ist aber vermutlich kurzfristig weniger schnell umsetzbar als die angeführten Alternativen. Drohnen wären prinzipiell zwar eine Option, sind aber aufgrund der Gewichtsbeschränkung nur eingeschränkt sinnvoll und würde ich persönlich auch als optisch/akustisch ziemlich unangenehm empfinden, besonders in Vierteln in denen sehr viel hin geliefert wird. ",weiblich,26-35,städtisch,Vollzeit,3-4,45,Facebook;andere Social Media
Participant-95,"Spart Energie, weil nur 1 Fahrzeug kommt. Arbeitsplätze bleiben erhalten. ",weiblich,56-65,städtisch,,1-2,45,keine Social Media Nutzung
Participant-101,"Ich wohne in der ersten Etage, ohne Balkon. Drohnen und Roboter würden mich nicht erreichen. ",männlich,36-45,städtisch,Vollzeit,3-4,44649,keine Social Media Nutzung
