Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-1,Es hat die meisten Vorteile,männlich,66+,städtisch,Teilzeit,1-2,44,Facebook;Twitter;Instagram;Linkedin
Participant-3,Für mich persönlich die optimale Lösung,männlich,46-55,städtisch,Vollzeit,1-2,44,Facebook
Participant-4,,weiblich,66+,städtisch,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-6,,männlich,26-35,städtisch,Vollzeit,1-2,04,Instagram
Participant-8,,männlich,46-55,städtisch,Vollzeit,3-4,45,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-10,,weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-11,,weiblich,26-35,städtisch,Vollzeit,3-4,26,Facebook;Instagram
Participant-17,Zustellereinsatz,weiblich,66+,städtisch,,1-2,45,Instagram;andere Social Media
Participant-18,,männlich,66+,städtisch,Teilzeit,1-2,44 ,andere Social Media
Participant-22,,weiblich,36-45,städtisch,Vollzeit,1-2,48,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-24,"Ich finde es angenehm, dass alles gesammelt wird und nur einmal am Tag jemand kommt. ",weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-26,Ich sehe einen Überhang in den Vorteilen und die Vorteile finde ich überaus gut.,männlich,46-55,städtisch,Vollzeit,3-4,40,keine Social Media Nutzung
Participant-28,"Durch E-Autos umweltfreundlich, daz alles aus einer Hand da nur ein Zulieferer.",männlich,46-55,städtisch,Vollzeit,1-2,46,Facebook
Participant-29,So wird CO2 eingespart und ich habe wenige Einbußen. ,weiblich,36-45,städtisch,Vollzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-30,Erscheint mir am sinnvollsten ,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-32,Da kann ich mich besser drauf einstellen ,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook;Instagram
Participant-35,,weiblich,36-45,städtisch,Vollzeit,1-2,46,Facebook;Instagram
Participant-37," Die  Emmissionen werden erheblich gesenkt  und der finanzielle Aufwand wäre für mich der Preis, den ich am liebsten dafür zahlen würde. Die Nachteile der anderen Alternativen würden von mir als schwerwiegender empfunden. ",weiblich,56-65,städtisch,,1-2,44,keine Social Media Nutzung
Participant-39,Arbeitsplätze und oder  menschliche Interaktion ,männlich,26-35,ländlich,Vollzeit,1-2,48599,keine Social Media Nutzung
Participant-40,,männlich,36-45,ländlich,Vollzeit,1-2,65,Twitter;Linkedin;andere Social Media
Participant-44,Viele Elektrofahrzeuge und die Arbeitsplätze der Fahrer gehen nicht verloren,männlich,17-25,städtisch,Vollzeit,3-4,44,Facebook;Instagram;andere Social Media
Participant-48,"Es liefert den größten Effekt, ist einfach umzusetzen, ich gewinne zusätzlichen Komfort (1 Lieferung) und die Kosten sind gering",weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-50,Scheint logisch ,weiblich,46-55,ländlich,Teilzeit,1-2,33,Facebook;Twitter;Instagram;andere Social Media
Participant-52,Ich sehe den Vorteil des bestellen das meine Ware zu mir nachhause kommt und ich nicht irgendwo hin muss. Eine Sammelstelle die mir alles auf einmal liefert würde ich begrüßen da es auch nervig ist wenn 5 mal am Tag ein Packetdienst schellt.,männlich,36-45,städtisch,Vollzeit,3-4,45,andere Social Media
Participant-54,,weiblich,56-65,städtisch,Vollzeit,3-4,44,Facebook;Twitter;Linkedin;andere Social Media
Participant-56,"1. - die Zustellung mit einem umweltfreundlichen Fahrzeug, selbst in abgelegene Zustellgebiete, ist immer machbar, im Gegensatz zu Robotern und Drohnen.
2. - längere Wartezeiten sind wir daher eh schon gewohnt.
3. - zu einer Packstation müsste der Zusteller und ich selbst fahren; das wären ja doppelter CO2-Ausstoß. (nächste Packstation ist rund 5km entfernt, mit erheblichen Steigungen)",männlich,56-65,ländlich,Vollzeit,1-2,42,Facebook
Participant-59,,männlich,36-45,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-61,Erhält Arbeitsplätze ,weiblich,46-55,ländlich,Vollzeit,1-2,33,Facebook;Instagram
Participant-62,Arbeitsplätze ,weiblich,46-55,städtisch,Teilzeit,3-4,44,Facebook;Instagram
